Match ID,Innings Number,From Over,To Over,Powerplay Type
1426284,1,0.1,5.6,mandatory
1426284,2,0.1,5.6,mandatory
501205,1,0.1,5.6,mandatory
501205,2,0.1,5.6,mandatory
419107,1,0.1,5.6,mandatory
419107,2,0.1,5.6,mandatory
1216500,1,0.1,5.7,mandatory
1216500,2,0.1,5.6,mandatory
598037,1,0.1,5.6,mandatory
598037,2,0.1,5.6,mandatory
1473509,1,0.1,5.6,mandatory
1473509,2,0.1,5.6,mandatory
829775,1,0.1,5.6,mandatory
829775,2,0.1,5.6,mandatory
1529301,1,0.1,5.6,mandatory
1529301,2,0.1,5.6,mandatory
335983,1,0.1,5.6,mandatory
335983,2,0.1,5.8,mandatory
1304063,1,0.1,5.6,mandatory
1304063,2,0.1,5.6,mandatory
980913,1,0.1,5.6,mandatory
980913,2,0.1,5.6,mandatory
1178425,1,0.1,5.6,mandatory
1178425,2,0.1,5.6,mandatory
419111,1,0.1,5.6,mandatory
419111,2,0.1,5.6,mandatory
501213,1,0.1,5.7,mandatory
501213,2,0.1,5.8,mandatory
829763,1,0.1,5.8,mandatory
548339,1,0.1,5.6,mandatory
548339,2,0.1,5.7,mandatory
598021,1,0.1,5.6,mandatory
598021,2,0.1,5.6,mandatory
1216516,1,0.1,5.6,mandatory
1216516,2,0.1,5.6,mandatory
980905,1,0.1,5.6,mandatory
980905,2,0.1,5.6,mandatory
335995,1,0.1,5.6,mandatory
335995,2,0.1,5.6,mandatory
1304075,1,0.1,5.7,mandatory
1304075,2,0.1,5.6,mandatory
501244,1,0.1,5.6,mandatory
501244,2,0.1,5.6,mandatory
1082626,1,0.1,5.6,mandatory
1082626,2,0.1,5.7,mandatory
419146,1,0.1,5.6,mandatory
419146,2,0.1,5.6,mandatory
548381,1,0.1,5.7,mandatory
548381,2,0.1,5.6,mandatory
1216541,1,0.1,5.6,mandatory
1216541,2,0.1,5.6,mandatory
1426292,1,0.1,5.6,mandatory
1426292,2,0.1,5.7,mandatory
733995,1,0.1,5.6,mandatory
733995,2,0.1,5.6,mandatory
548315,1,0.1,5.6,mandatory
548315,2,0.1,5.6,mandatory
1136589,1,0.1,5.6,mandatory
1136589,2,0.1,5.6,mandatory
1473499,1,0.1,5.6,mandatory
1473499,2,0.1,5.8,mandatory
981007,1,0.1,5.6,mandatory
981007,2,0.1,5.6,mandatory
1473476,1,0.1,5.6,mandatory
1473476,2,0.1,5.6,mandatory
1136566,1,0.1,5.6,mandatory
1136566,2,0.1,1.7,mandatory
1304059,1,0.1,5.6,mandatory
1304059,2,0.1,5.6,mandatory
980929,1,0.1,5.6,mandatory
980929,2,0.1,5.6,mandatory
1529291,1,0.1,5.6,mandatory
1529291,2,0.1,5.6,mandatory
1175368,1,0.1,5.6,mandatory
1175368,2,0.1,5.6,mandatory
548342,1,0.1,5.7,mandatory
548342,2,0.1,5.6,mandatory
336012,1,0.1,4.6,mandatory
336012,2,0.1,4.8,mandatory
501268,1,0.1,5.7,mandatory
501268,2,0.1,5.6,mandatory
1254088,1,0.1,5.6,mandatory
1254088,2,0.1,5.6,mandatory
1136618,1,0.1,5.6,mandatory
1136618,2,0.1,5.6,mandatory
1527688,1,0.1,5.6,mandatory
1527688,2,0.1,5.6,mandatory
980991,1,0.1,5.6,mandatory
980991,2,0.1,5.6,mandatory
392227,1,0.1,5.6,mandatory
392227,2,0.1,5.6,mandatory
1359537,1,0.1,5.6,mandatory
1359537,2,0.1,5.7,mandatory
1254067,1,0.1,5.6,mandatory
1254067,2,0.1,5.6,mandatory
548354,1,0.1,5.7,mandatory
548354,2,0.1,5.7,mandatory
336004,1,0.1,5.6,mandatory
336004,2,0.1,5.6,mandatory
1426302,1,0.1,5.7,mandatory
1426302,2,0.1,5.6,mandatory
1254071,1,0.1,5.6,mandatory
1254071,2,0.1,5.7,mandatory
1359521,1,0.1,5.6,mandatory
1359521,2,0.1,5.7,mandatory
392231,1,0.1,5.6,mandatory
392231,2,0.1,5.6,mandatory
980987,1,0.1,5.6,mandatory
980987,2,0.1,5.7,mandatory
829759,1,0.1,5.6,mandatory
829759,2,0.1,5.8,mandatory
981011,1,0.1,5.6,mandatory
981011,2,0.1,5.6,mandatory
733983,1,0.1,5.6,mandatory
733983,2,0.1,5.6,mandatory
501229,1,0.1,5.6,mandatory
501229,2,0.1,5.6,mandatory
1136570,1,0.1,5.6,mandatory
1136570,2,0.1,5.7,mandatory
1473460,1,0.1,5.7,mandatory
1473460,2,0.1,5.6,mandatory
1178409,1,0.1,5.7,mandatory
1178409,2,0.1,5.6,mandatory
1529268,1,0.1,5.6,mandatory
1529268,2,0.1,5.6,mandatory
1529287,1,0.1,5.6,mandatory
1529287,2,0.1,5.6,mandatory
1426267,1,0.1,5.6,mandatory
